moco,ageq80_17,sexe,contribution_of_the_group_in_population
11,0,1,2.63
11,0,2,2.52
11,5,1,2.46
11,5,2,2.35
11,10,1,2.30
11,10,2,2.20
11,15,1,1.93
11,15,2,1.79
11,20,1,1.11
11,20,2,0.83
11,25,1,0.45
11,25,2,0.25
11,30,1,0.17
11,30,2,0.07
11,35,1,0.08
11,35,2,0.04
11,40,1,0.06
11,40,2,0.03
11,45,1,0.04
11,45,2,0.02
11,50,1,0.02
11,50,2,0.01
11,55,1,0.01
11,55,2,0.00
11,60,1,0.00
11,60,2,0.00
11,65,1,0.00
11,65,2,0.00
11,70,1,0.00
11,70,2,0.00
11,75,1,0.00
11,75,2,0.00
11,80,1,0.00
11,80,2,0.00
12,0,1,0.49
12,0,2,0.47
12,5,1,0.69
12,5,2,0.66
12,10,1,0.81
12,10,2,0.78
12,15,1,0.82
12,15,2,0.77
12,20,1,0.51
12,20,2,0.38
12,25,1,0.23
12,25,2,0.13
12,30,1,0.11
12,30,2,0.05
12,35,1,0.07
12,35,2,0.03
12,40,1,0.07
12,40,2,0.03
12,45,1,0.07
12,45,2,0.03
12,50,1,0.06
12,50,2,0.03
12,55,1,0.04
12,55,2,0.03
12,60,1,0.02
12,60,2,0.02
12,65,1,0.01
12,65,2,0.01
12,70,1,0.00
12,70,2,0.00
12,75,1,0.00
12,75,2,0.00
12,80,1,0.00
12,80,2,0.00
21,0,1,0.00
21,0,2,0.00
21,5,1,0.00
21,5,2,0.00
21,10,1,0.00
21,10,2,0.00
21,15,1,0.02
21,15,2,0.06
21,20,1,0.39
21,20,2,0.62
21,25,1,0.84
21,25,2,0.90
21,30,1,0.60
21,30,2,0.48
21,35,1,0.33
21,35,2,0.24
21,40,1,0.27
21,40,2,0.23
21,45,1,0.35
21,45,2,0.44
21,50,1,0.73
21,50,2,0.96
21,55,1,1.23
21,55,2,1.44
21,60,1,1.62
21,60,2,1.71
21,65,1,1.59
21,65,2,1.53
21,70,1,1.16
21,70,2,1.04
21,75,1,0.99
21,75,2,0.83
21,80,1,1.18
21,80,2,0.78
22,0,1,0.00
22,0,2,0.00
22,5,1,0.00
22,5,2,0.00
22,10,1,0.00
22,10,2,0.00
22,15,1,0.00
22,15,2,0.01
22,20,1,0.10
22,20,2,0.25
22,25,1,0.59
22,25,2,0.97
22,30,1,1.40
22,30,2,1.79
22,35,1,1.85
22,35,2,2.02
22,40,1,2.08
22,40,2,2.11
22,45,1,1.93
22,45,2,1.83
22,50,1,1.51
22,50,2,1.25
22,55,1,0.91
22,55,2,0.64
22,60,1,0.51
22,60,2,0.30
22,65,1,0.27
22,65,2,0.13
22,70,1,0.13
22,70,2,0.07
22,75,1,0.08
22,75,2,0.05
22,80,1,0.07
22,80,2,0.03
23,0,1,0.00
23,0,2,0.00
23,5,1,0.00
23,5,2,0.00
23,10,1,0.00
23,10,2,0.00
23,15,1,0.00
23,15,2,0.01
23,20,1,0.01
23,20,2,0.11
23,25,1,0.02
23,25,2,0.25
23,30,1,0.04
23,30,2,0.38
23,35,1,0.07
23,35,2,0.49
23,40,1,0.12
23,40,2,0.66
23,45,1,0.14
23,45,2,0.67
23,50,1,0.13
23,50,2,0.51
23,55,1,0.08
23,55,2,0.30
23,60,1,0.05
23,60,2,0.16
23,65,1,0.03
23,65,2,0.10
23,70,1,0.02
23,70,2,0.07
23,75,1,0.01
23,75,2,0.08
23,80,1,0.03
23,80,2,0.17
31,0,1,0.04
31,0,2,0.04
31,5,1,0.05
31,5,2,0.04
31,10,1,0.05
31,10,2,0.05
31,15,1,0.16
31,15,2,0.17
31,20,1,0.37
31,20,2,0.34
31,25,1,0.27
31,25,2,0.20
31,30,1,0.17
31,30,2,0.11
31,35,1,0.13
31,35,2,0.08
31,40,1,0.12
31,40,2,0.08
31,45,1,0.12
31,45,2,0.09
31,50,1,0.11
31,50,2,0.10
31,55,1,0.10
31,55,2,0.11
31,60,1,0.09
31,60,2,0.11
31,65,1,0.07
31,65,2,0.10
31,70,1,0.04
31,70,2,0.08
31,75,1,0.04
31,75,2,0.08
31,80,1,0.06
31,80,2,0.20
32,0,1,0.00
32,0,2,0.00
32,5,1,0.00
32,5,2,0.00
32,10,1,0.00
32,10,2,0.00
32,15,1,0.19
32,15,2,0.23
32,20,1,0.67
32,20,2,0.73
32,25,1,0.71
32,25,2,0.60
32,30,1,0.64
32,30,2,0.43
32,35,1,0.57
32,35,2,0.32
32,40,1,0.61
32,40,2,0.33
32,45,1,0.61
32,45,2,0.42
32,50,1,0.61
32,50,2,0.59
32,55,1,0.57
32,55,2,0.76
32,60,1,0.52
32,60,2,0.91
32,65,1,0.42
32,65,2,0.90
32,70,1,0.28
32,70,2,0.75
32,75,1,0.26
32,75,2,0.87
32,80,1,0.48
32,80,2,2.10
