region_name,libgeo,salary_all,salary_women,salary_men
Guadeloupe,Trois-Rivières,13.1,12.7,13.4
Guadeloupe,Sainte-Rose,13.1,12.5,13.5
Guadeloupe,Sainte-Anne,13.4,12.7,14.1
Guadeloupe,Saint-François,13.9,12.8,14.9
Guadeloupe,Saint-Claude,13.7,12.9,14.5
Guadeloupe,Port-Louis,12,11.4,12.6
Guadeloupe,Pointe-Noire,11.5,10.4,12.1
Guadeloupe,Pointe-à-Pitre,13.1,12.5,13.5
Guadeloupe,Petit-Canal,11.9,11.2,12.4
Guadeloupe,Petit-Bourg,16.6,14.7,18.2
Guadeloupe,Le Moule,13,12.4,13.6
Guadeloupe,Morne-à-l'Eau,12.8,12.2,13.4
Guadeloupe,Lamentin,14,13.5,14.5
Guadeloupe,Goyave,14.4,13,15.6
Guadeloupe,Le Gosier,15.5,14.2,16.7
Guadeloupe,Grand-Bourg,11.7,11.5,11.8
Guadeloupe,Deshaies,12.3,11.5,12.9
Guadeloupe,Gourbeyre,12.4,12.5,12.3
Guadeloupe,Capesterre-Belle-Eau,12.2,11.8,12.5
Guadeloupe,Bouillante,11.6,10.9,12.1
Guadeloupe,Basse-Terre,12.9,12.7,13.1
Guadeloupe,Baillif,12,11.5,12.5
Guadeloupe,Baie-Mahault,16.2,14.6,17.8
Guadeloupe,Anse-Bertrand,12,11.4,12.5
Guadeloupe,Les Abymes,12.7,12.2,13.2
Guadeloupe,Vieux-Habitants,11.6,10.9,12.1
Martinique,Case-Pilote,15.3,14.3,16.3
Martinique,Le Diamant,15.5,13.5,17
Martinique,Ducos,13.8,13.2,14.3
Martinique,Fort-de-France,13.7,13,14.3
Martinique,Le François,14.5,12.4,16.1
Martinique,Gros-Morne,12,11.5,12.3
Martinique,Le Lamentin,14,13.1,14.8
Martinique,Le Lorrain,11.3,11.1,11.5
Martinique,Le Marigot,11.7,11.3,11.9
Martinique,Le Marin,11.6,10.9,12.2
Martinique,Le Morne-Rouge,11.9,11.4,12.3
Martinique,Rivière-Pilote,11.8,11.4,12.2
Martinique,Rivière-Salée,13.7,12.5,14.8
Martinique,Le Robert,13.4,12.4,14.3
Martinique,Saint-Esprit,12.4,12.1,12.7
Martinique,Saint-Joseph,13.4,12.6,14
Martinique,Saint-Pierre,11.5,10.3,12.3
Martinique,Sainte-Anne,12.4,11.5,13.2
Martinique,Sainte-Luce,13.6,12.9,14.3
Martinique,Sainte-Marie,11.9,11.4,12.2
Martinique,Schoelcher,15.8,14.7,17
Martinique,La Trinité,13,12.4,13.5
Martinique,Les Trois-Îlets,14.9,13.1,16.7
Martinique,Le Vauclin,12.7,12,13.3
Martinique,Les Anses-d'Arlet,12.9,12.4,13.3
Martinique,Basse-Pointe,10.9,9.8,11.5
Martinique,Le Carbet,13.6,13.1,14.1
Guyane,Montsinéry-Tonnegrande,14.9,15,14.8
Guyane,Cayenne,12.8,12.4,13
Guyane,Kourou,17.6,15.2,18.8
Guyane,Macouria,14.4,13.5,15
Guyane,Matoury,13.3,12.9,13.5
Guyane,Remire-Montjoly,16.8,15.6,17.7
Guyane,Roura,12.7,12.4,12.8
Guyane,Saint-Laurent-du-Maroni,11.2,11,11.2
La Réunion,La Plaine-des-Palmistes,11.9,11.5,12.2
La Réunion,Saint-Pierre,11.9,11.5,12.2
La Réunion,Sainte-Marie,13.4,12.8,13.8
La Réunion,Sainte-Rose,10.9,10.6,11.1
La Réunion,Sainte-Suzanne,12.9,12.4,13.2
La Réunion,Salazie,10.4,9.8,10.7
La Réunion,Le Tampon,12,11.5,12.3
La Réunion,Les Trois-Bassins,11.4,10.8,11.7
La Réunion,Cilaos,10.4,9.8,10.6
La Réunion,Saint-Benoît,11.7,11.2,12
La Réunion,Saint-André,11.8,11.2,12.2
La Réunion,La Possession,15.1,13.7,16
La Réunion,Le Port,11.9,11.2,12.3
La Réunion,Saint-Paul,13.5,12.7,14
La Réunion,Petite-Île,11.9,11.2,12.3
La Réunion,L'Étang-Salé,13.2,12.7,13.4
La Réunion,Entre-Deux,12.3,12,12.4
La Réunion,Bras-Panon,12,11.4,12.3
La Réunion,Les Avirons,13.4,12.7,13.7
La Réunion,Saint-Denis,13.9,13.3,14.3
La Réunion,Saint-Joseph,11.3,10.8,11.5
La Réunion,Saint-Leu,12.6,11.8,13.1
La Réunion,Saint-Louis,11.4,10.6,11.8
Île-de-France,Montcourt-Fromonville,15.8,13.8,17.1
Île-de-France,Montereau-Fault-Yonne,11.9,11,12.4
Île-de-France,Montévrain,15.4,13.8,16.7
Île-de-France,Montigny-sur-Loing,17.8,14.9,19.8
Île-de-France,Montry,16.2,14.7,17.3
Île-de-France,Moret-sur-Loing,16.3,14.1,18
Île-de-France,Mormant,13.7,12.2,14.8
Île-de-France,Mouroux,14.7,13,15.8
Île-de-France,Moussy-le-Neuf,16.4,15,17.5
Île-de-France,Nandy,14.8,13.3,15.8
Île-de-France,Nangis,13.1,11.5,14.1
Île-de-France,Nanteuil-lès-Meaux,15,13.1,16.3
Île-de-France,Nemours,12.7,11.6,13.4
Île-de-France,Chauconin-Neufmontiers,16.4,14.5,17.7
