region_name,median_salary_all,median_salary_all_18_25,median_salary_all_25_50,median_salary_all_above_50,median_salary_women_18_25,median_salary_women_25_50,median_salary_women_above_50,median_salary_men_18_25,median_salary_men_25_50,median_salary_men_above_50,iqr_salary_all_18_25,iqr_salary_all_25_50,iqr_salary_all_above_50,iqr_salary_women_18_25,iqr_salary_women_25_50,iqr_salary_women_above_50,iqr_salary_men_18_25,iqr_salary_men_25_50,iqr_salary_men_above_50,diff_median_salary_men_women_18_25,diff_median_salary_men_women_25_50,diff_median_salary_men_women_above_50,percentage_of_children,mean_age
Alsace,13.60,9.50,13.40,15.80,9.05,11.80,12.80,9.90,14.60,18.10,0.30,1.80,2.10,0.40,1.38,1.70,0.40,2.10,2.70,-0.85,-2.80,-5.30,26.21,39.59
Aquitaine,12.70,9.30,12.50,14.80,9.00,11.30,12.50,9.50,13.40,16.40,0.40,1.90,2.65,0.50,1.30,1.80,0.40,2.40,3.70,-0.50,-2.10,-3.90,23.37,41.89
Auvergne,12.50,9.40,12.40,14.50,9.00,11.30,12.40,9.60,13.15,15.95,0.30,1.82,3.04,0.40,1.50,2.20,0.40,2.20,3.55,-0.60,-1.85,-3.55,22.31,42.78
Basse-Normandie,12.40,9.30,12.10,14.30,9.00,11.10,12.20,9.50,12.90,15.70,0.40,1.83,2.83,0.40,1.20,1.83,0.50,2.34,3.82,-0.50,-1.80,-3.50,23.41,42.52
Bourgogne,12.50,9.40,12.30,14.30,9.10,11.10,12.20,9.60,13.10,15.60,0.30,1.40,1.90,0.40,0.90,1.40,0.50,1.60,2.40,-0.50,-2.00,-3.40,23.00,42.56
Bretagne,12.40,9.30,12.30,14.10,9.00,11.20,12.00,9.50,13.10,15.50,0.40,1.50,2.30,0.40,1.00,1.40,0.40,1.80,2.90,-0.50,-1.90,-3.50,24.60,41.63
Centre,13.20,9.50,13.10,15.00,9.20,11.80,12.80,9.80,13.90,16.60,0.50,1.95,2.70,0.50,1.55,1.90,0.50,2.50,3.20,-0.60,-2.10,-3.80,25.21,41.39
Champagne-Ardenne,12.30,9.50,12.20,14.20,9.10,11.10,11.90,9.70,12.80,15.70,0.40,1.20,2.10,0.30,1.10,1.50,0.60,1.50,3.10,-0.60,-1.70,-3.80,24.93,40.42
Corse,12.00,9.30,11.60,14.80,9.10,10.90,12.60,9.50,12.30,15.70,0.60,2.10,2.00,0.50,1.20,2.00,0.90,2.80,3.60,-0.40,-1.40,-3.10,24.27,41.51
Franche-Comté,12.55,9.30,12.40,14.15,8.90,11.00,12.00,9.70,13.30,15.60,0.30,1.34,1.85,0.50,0.90,1.45,0.30,1.78,2.30,-0.80,-2.30,-3.60,24.38,40.83
